位置,身高,体重,年龄,球龄,上场次数,场均时间,进攻能力,防守能力,是否入选全明星
4,2.08,111,28,5,76,31.23,16.648,6,0
3,1.96,98,29,7,72,23.15,10.746,2,0
2,1.96,100,28,7,81,36.38,41.288,7,1
5,2.13,113,37,15,64,25.42,15.724,7,1
2,1.88,91,25,2,74,20.18,9.167,1,0
4,2.06,109,29,9,62,33.38,29.919,9,1
5,2.21,132,29,1,35,8.37,6.717,2,0
4,2.06,100,27,6,75,35.85,27.017,6,1
4,2.01,97,22,1,78,22.57,11.624,5,0
5,2.11,113,22,1,64,15.62,8.377,3,0
3,2.03,99,22,1,65,14.77,5.834,1,0
2,1.85,93,33,11,80,21.23,9.108,2,0
1,1.85,84,25,1,40,8.63,3.35,0,0
1,1.85,84,31,10,69,26.7,15.481,5,0
4,2.01,107,39,18,25,11.08,3.64,1,0
5,2.11,100,23,2,51,20.47,10.71,4,0
2,1.85,77,26,2,65,23.45,12.294,2,0
4,2.06,104,24,1,63,22.88,9.654,4,0
5,2.13,127,23,2,65,21.4,14.072,5,0
2,1.96,98,24,0,75,26.42,14.457,3,0
4,2.06,104,23,0,55,15.62,5.469,2,0
2,1.93,90,24,1,63,16.32,7.791,1,0
3,2.03,98,24,2,59,27.0,14.307,3,0
3,2.01,102,20,0,78,17.22,7.421,2,0
4,2.06,113,27,4,38,8.98,2.893,1,0
3,2.01,104,26,5,74,33.43,30.024,5,1
2,1.93,93,23,0,78,17.08,6.17,2,0
4,2.06,107,28,5,79,32.47,16.015,3,0
2,1.91,79,26,3,77,14.75,8.009,1,0
4,2.11,109,21,0,81,20.13,6.922,2,0
1,1.83,82,29,7,80,21.92,12.978,1,0
4,2.06,100,32,12,56,26.53,9.911,4,1
4,2.03,113,32,13,74,37.75,36.14,8,1
3,2.01,98,27,5,78,33.95,24.381,3,1
5,2.13,120,29,8,81,28.03,14.348,4,0
3,1.98,84,28,3,82,19.98,8.914,2,0
5,2.16,113,25,3,81,33.87,18.25,10,0
3,1.98,93,40,14,69,18.72,10.142,2,0
5,2.13,109,24,3,62,27.82,13.907,5,0
5,2.08,116,30,8,82,15.67,10.475,3,0
3,2.01,105,28,5,76,36.95,30.377,5,1
1,1.91,93,35,12,39,14.35,9.179,1,0
3,1.98,100,28,7,40,19.7,13.38,3,0
1,1.93,93,27,7,67,32.68,22.644,4,1
4,1.98,95,23,0,38,9.75,3.423,1,0
4,2.03,100,29,9,74,30.22,13.649,5,0
4,2.06,113,37,13,68,12.55,6.871,2,0
5,2.13,111,21,1,82,36.95,30.813,9,0
